objectid,x,y,site_name_,ward,charitybanks,booksmusic,cansfoil,cansplasticbottles,plasticbottles,textiles,weee,glass,shoes,cartons,books,cardboard,paper,address,categories
1,-1.1001708760,53.9925224700,Dunelm Mill Shop,Rawcliffe and Clifton Without,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,Dunelm Mill Shop,textiles|shoes|books|
2,-1.0965418230,53.9607491100,National Railway Museum,Holgate,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,Yes,National Railway Museum,cansfoil|glass|shoes|paper|
3,-1.1206641520,53.9638762500,"Ainsty Car Park, Carr Lane",Holgate,No,No,No,No,No,No,No,Yes,No,No,No,No,No,"Ainsty Car Park, Carr Lane",glass|
4,-1.0724166020,53.9627223500,"Asda, Layerthorpe",Guildhall,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,"Asda, Layerthorpe",textiles|shoes|books|paper|
5,-1.0434616040,53.9864580300,"Asda, Monks Cross",Huntington and New Earswick,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,"Asda, Monks Cross",booksmusic|cansfoil|glass|shoes|cartons|books|paper|
6,-1.1614840170,53.9206390000,Askham Bryan College,Rural West York,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,Yes,Askham Bryan College,cansplasticbottles|textiles|paper|
7,-1.0266741690,53.9549091500,"B & Q, Hull Road",Osbaldwick and Derwent,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,"B & Q, Hull Road",cansfoil|plasticbottles|textiles|weee|glass|shoes|cardboard|paper|
8,-1.0726378440,53.9526499300,"Barbican Road, Junction with Kent Street",Fishergate,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,"Barbican Road, Junction with Kent Street",textiles|
9,-1.0678768110,53.9776435900,Bell Farm Community Centre,Heworth,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Bell Farm Community Centre,cansplasticbottles|glass|paper|
10,-1.0854871800,53.9512278700,Bishopthorpe Road Car Park,Micklegate,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,Bishopthorpe Road Car Park,booksmusic|cansfoil|textiles|glass|shoes|paper|
11,-1.0698397570,53.9408881100,"Broadway shops, Fulford",Fishergate,Yes,No,No,No,No,Yes,No,No,No,No,No,No,Yes,"Broadway shops, Fulford",textiles|paper|
12,-1.0971441080,53.9540484700,"Cambridge Street, Holgate Rd",Micklegate,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,"Cambridge Street, Holgate Rd",textiles|shoes|paper|
13,-1.0530725650,53.9535568400,"Co-op, Hull Road",Hull Road,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"Co-op, Hull Road",paper|
14,-1.1366174420,53.9148088000,Copmanthorpe Recreation Centre,Copmanthorpe,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Copmanthorpe Recreation Centre,cansplasticbottles|
15,-1.0141216360,53.9895643600,"Deans Garden Centre, Stockton on the Forest",Strensall,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,"Deans Garden Centre, Stockton on the Forest",cansplasticbottles|textiles|glass|paper|
16,-1.0366738750,53.9600771300,Derwent Arms,Osbaldwick and Derwent,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Derwent Arms,glass|
17,-1.0663229250,53.9653086600,East Parade Car Park,Heworth,No,No,No,No,No,No,No,No,No,No,No,No,Yes,East Parade Car Park,paper|
18,-1.0273270850,53.9917724600,Elvington Caravan Club,Wheldrake,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Elvington Caravan Club,cansplasticbottles|glass|paper|
19,-0.9537035160,53.9240670700,Elvington Scout Hut,Wheldrake,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Elvington Scout Hut,paper|
20,-1.0683361810,53.9878038800,Flag & Whistle Pub car Park,Huntington and New Earswick,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Flag & Whistle Pub car Park,textiles|glass|shoes|
21,-0.9986495680,53.9968246900,"Fox Inn Pub, Stockton on the Forest",Strensall,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,"Fox Inn Pub, Stockton on the Forest",textiles|shoes|
22,-1.1342181300,53.9637233400,"Green Tree Pub, Beckfield Lane",Acomb,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,"Green Tree Pub, Beckfield Lane",textiles|
23,-1.0191632330,53.9548210500,Grimston Bar Park and Ride,Osbaldwick and Derwent,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Grimston Bar Park and Ride,cansplasticbottles|glass|paper|
24,-1.0748502990,53.9958836800,"Hartrigg Oaks, New Earswick",Huntington and New Earswick,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,"Hartrigg Oaks, New Earswick",cansplasticbottles|glass|paper|
25,-1.0797983630,53.9701221300,"Jaipur Spice car park, Haxby Rd",Guildhall,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,"Jaipur Spice car park, Haxby Rd",textiles|
26,-1.0552933510,53.9537048500,Hull Road with junction with Garrow Hill Av.,Hull Road,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Hull Road with junction with Garrow Hill Av.,textiles|
